Dia,Hora,Chuva,Temperatura,Umidade
2/1/2018,0:00:00,0,23.2,84
2/1/2018,0:15:00,0,23.2,85
2/1/2018,0:30:00,0,22.5,88
2/1/2018,0:45:00,0,22.5,90
2/1/2018,1:00:00,0,22,90
2/1/2018,1:15:00,0,22.7,90
2/1/2018,1:30:00,0,22.5,89
2/1/2018,1:45:00,0,22,89
2/1/2018,2:00:00,0,22.3,90
2/1/2018,2:15:00,0,22,90
2/1/2018,2:30:00,0,22,90
2/1/2018,2:45:00,0,21.8,90
2/1/2018,3:00:00,0,22,90
2/1/2018,3:15:00,0,21.8,90
2/1/2018,3:30:00,0,21.8,91
2/1/2018,3:45:00,0,22.3,91
2/1/2018,4:00:00,0,22,90
2/1/2018,4:15:00,0,22.3,90
2/1/2018,4:30:00,0,22.5,88
2/1/2018,4:45:00,0,22.3,88
2/1/2018,5:00:00,0,22,89
2/1/2018,5:15:00,0,22,88
2/1/2018,5:30:00,0,22,88
2/1/2018,5:45:00,0,21.8,88
2/1/2018,6:00:00,0,22.5,87
2/1/2018,6:15:00,0,22.5,87
2/1/2018,6:30:00,0,22.3,88
2/1/2018,6:45:00,0,22.3,88
2/1/2018,7:00:00,0,22.5,89
2/1/2018,7:15:00,0,22.5,88
2/1/2018,7:30:00,0,22.7,87
2/1/2018,7:45:00,0,24.2,81
2/1/2018,8:00:00,0,25.9,75
2/1/2018,8:15:00,0,25.7,73
2/1/2018,8:30:00,0,26.2,70
2/1/2018,8:45:00,0,26.4,68
2/1/2018,9:00:00,0,26.9,66
2/1/2018,9:15:00,0,27.4,64
2/1/2018,9:30:00,0,28.4,61
2/1/2018,9:45:00,0,27.6,63
2/1/2018,10:00:00,0,27.1,65
2/1/2018,10:15:00,0,27.4,63
2/1/2018,10:30:00,0,28.6,60
2/1/2018,10:45:00,0,28.8,58
2/1/2018,11:00:00,0,28.6,63
2/1/2018,11:15:00,0,28.6,63
2/1/2018,11:30:00,0,28.6,63
2/1/2018,11:45:00,0,28.1,61
2/1/2018,12:00:00,0,28.4,60
2/1/2018,12:15:00,0,28.4,64
2/1/2018,12:30:00,0,28.6,60
2/1/2018,12:45:00,0,28.1,60
2/1/2018,13:00:00,0,27.9,62
2/1/2018,13:15:00,0,28.4,62
2/1/2018,13:30:00,0,28.6,58
2/1/2018,13:45:00,0,28.6,65
2/1/2018,14:00:00,0,28.4,67
2/1/2018,14:15:00,0,28.6,62
2/1/2018,14:30:00,0,28.4,64
2/1/2018,14:45:00,0,29.3,62
2/1/2018,15:00:00,0,28.8,64
2/1/2018,15:15:00,0,28.4,64
2/1/2018,15:30:00,0,28.4,65
2/1/2018,15:45:00,0,28.6,65
2/1/2018,16:00:00,0,28.1,66
2/1/2018,16:15:00,0,28.1,66
2/1/2018,16:30:00,0,28.1,67
2/1/2018,16:45:00,0,28.4,67
2/1/2018,17:00:00,0,26.9,72
2/1/2018,17:15:00,0,26.9,71
2/1/2018,17:30:00,0,27.6,71
2/1/2018,17:45:00,0,27.4,70
2/1/2018,18:00:00,0,26.9,71
2/1/2018,18:15:00,0,28.1,68
2/1/2018,18:30:00,0,27.4,67
2/1/2018,18:45:00,0,26.9,71
2/1/2018,19:00:00,0,26.4,72
2/1/2018,19:15:00,0,26.2,72
2/1/2018,19:30:00,0,26.2,73
2/1/2018,19:45:00,0,25.7,75
2/1/2018,20:00:00,0,25.2,77
2/1/2018,20:15:00,0,25.2,77
2/1/2018,20:30:00,0,24.9,77
2/1/2018,20:45:00,0,24.9,77
2/1/2018,21:00:00,0,24.5,79
2/1/2018,21:15:00,0,24.9,79
2/1/2018,21:30:00,0,24.9,80
2/1/2018,21:45:00,0,24.9,80
2/1/2018,22:00:00,0,24.9,79
2/1/2018,22:15:00,0,24.9,78
2/1/2018,22:30:00,0,24.7,77
2/1/2018,22:45:00,0,24.5,78
2/1/2018,23:00:00,0,24.7,79
2/1/2018,23:15:00,0,24.2,80
2/1/2018,23:30:00,0,24.2,80
2/1/2018,23:45:00,0,23.7,83
2/2/2018,0:00:00,0,24.2,81
2/2/2018,0:15:00,0,23.5,83
2/2/2018,0:30:00,0,23.2,85
2/2/2018,0:45:00,0,23.2,86
2/2/2018,1:00:00,0,23.5,84
2/2/2018,1:15:00,0,23.2,86
2/2/2018,1:30:00,0,22.7,86
2/2/2018,1:45:00,0,23.2,84
2/2/2018,2:00:00,0,23.5,84
2/2/2018,2:15:00,0,22.5,86
2/2/2018,2:30:00,0,22.7,86
2/2/2018,2:45:00,0,22.7,87
2/2/2018,3:00:00,0,22.7,86
2/2/2018,4:15:00,0,23,87
2/2/2018,4:30:00,0,23.2,85
2/2/2018,4:45:00,0,23,86
2/2/2018,5:00:00,0,22.7,87
2/2/2018,5:15:00,0,22.5,89
2/2/2018,5:30:00,0,22.7,88
2/2/2018,5:45:00,0,23,88
2/2/2018,6:00:00,0,23,88
2/2/2018,6:15:00,0,22.7,88
2/2/2018,6:30:00,0,22.7,89
2/2/2018,6:45:00,0,22.7,88
2/2/2018,7:00:00,0,22.7,88
2/2/2018,7:15:00,0,23.7,85
2/2/2018,7:30:00,0,24,83
2/2/2018,7:45:00,0,25.4,80
2/2/2018,8:00:00,0,25.2,80
2/2/2018,8:15:00,0,26.2,75
2/2/2018,8:30:00,0,27.4,70
2/2/2018,8:45:00,0,27.4,66
2/2/2018,9:00:00,0,28.1,64
2/2/2018,9:15:00,0,27.6,67
2/2/2018,9:30:00,0,27.6,70
2/2/2018,9:45:00,0,27.1,69
2/2/2018,10:00:00,0,27.4,69
2/2/2018,10:15:00,0,28.1,67
2/2/2018,10:30:00,0,26.9,71
2/2/2018,10:45:00,0,27.9,66
2/2/2018,11:00:00,0,27.9,65
2/2/2018,11:15:00,0,28.6,64
2/2/2018,11:30:00,0,28.4,65
2/2/2018,11:45:00,0,27.6,70
2/2/2018,12:00:00,0,27.4,72
2/2/2018,12:15:00,0,26.7,73
2/2/2018,12:30:00,0,27.6,72
2/2/2018,12:45:00,0,27.4,73
2/2/2018,13:00:00,0,26.9,75
2/2/2018,13:15:00,0,27.1,74
2/2/2018,13:30:00,0,27.1,73
2/2/2018,13:45:00,0,26.9,72
2/2/2018,14:00:00,0,26.9,71
2/2/2018,14:15:00,0,26.9,73
2/2/2018,14:30:00,0,26.9,73
2/2/2018,14:45:00,0,27.1,72
2/2/2018,15:00:00,0,28.1,69
2/2/2018,15:15:00,0,28.1,66
2/2/2018,15:30:00,0,26.7,74
2/2/2018,15:45:00,0,26.7,74
2/2/2018,16:00:00,0,27.4,71
2/2/2018,16:15:00,0,27.1,70
2/2/2018,16:30:00,0,26.9,72
2/2/2018,16:45:00,0,27.4,69
2/2/2018,17:00:00,0,27.6,69
2/2/2018,17:15:00,0,26.9,71
2/2/2018,17:30:00,0,26.7,73
2/2/2018,17:45:00,0,26.2,74
2/2/2018,18:00:00,0,26.4,73
2/2/2018,18:15:00,0,27.6,69
2/2/2018,18:30:00,0,26.4,72
2/2/2018,18:45:00,0,26.2,73
2/2/2018,19:00:00,0,26.2,73
2/2/2018,19:15:00,0,26.2,73
2/2/2018,19:30:00,0,25.9,75
2/2/2018,19:45:00,0,25.4,76
2/2/2018,20:00:00,0,25.7,77
2/2/2018,20:15:00,0,24.9,78
2/2/2018,20:30:00,0,25.2,78
2/2/2018,20:45:00,0,24.9,79
2/2/2018,21:00:00,0,25.2,80
2/2/2018,21:15:00,0,24.7,81
2/2/2018,21:30:00,0,24.9,80
2/2/2018,21:45:00,0,24.7,81
2/2/2018,22:00:00,0,24.7,81
2/2/2018,22:15:00,0,24.7,80
2/2/2018,22:30:00,0,24.5,80
2/2/2018,22:45:00,0,24.2,80
2/2/2018,23:00:00,0,24.2,80
2/2/2018,23:15:00,0,23.5,82
2/2/2018,23:30:00,0,23.7,83
2/2/2018,23:45:00,0,23.5,84
2/3/2018,0:00:00,0,23.7,84
2/3/2018,0:15:00,0,23.7,86
2/3/2018,0:30:00,0,23.7,84
2/3/2018,0:45:00,0,24,85
2/3/2018,1:00:00,0,23.7,85
2/3/2018,1:15:00,0,23.5,88
2/3/2018,1:30:00,0,23.2,88
2/3/2018,1:45:00,0,23.5,88
2/3/2018,2:00:00,0,23.7,87
2/3/2018,2:15:00,0,23.5,86
2/3/2018,2:30:00,0,23.2,88
2/3/2018,2:45:00,0,23.5,86
2/3/2018,3:00:00,0,23.2,87
2/3/2018,4:15:00,0,22.7,89
2/3/2018,4:30:00,0,22.7,89
2/3/2018,4:45:00,0,22.5,90
2/3/2018,5:00:00,0,23,87
2/3/2018,5:15:00,0,22.7,88
2/3/2018,5:30:00,0,22.7,88
2/3/2018,5:45:00,0,22.7,89
2/3/2018,6:00:00,0,23,89
2/3/2018,6:15:00,0,23.2,87
2/3/2018,6:30:00,0,23.2,85
2/3/2018,6:45:00,0,23.7,85
2/3/2018,7:00:00,0,24.7,81
2/3/2018,7:15:00,0,24,83
2/3/2018,7:30:00,0,24.2,83
2/3/2018,7:45:00,0,24.9,81
2/3/2018,8:00:00,0,25.2,81
2/3/2018,8:15:00,0,25.9,77
